NOMBRE_ESTABLECIMIENTO,ROL_ESTABLECIMIENTO
ESCUELA ALIRO LAMAS CASTILLO,386
ESC. BASICA EMPERATRIZ SEPULVEDA LANDEROS,387
ESCUELA COEDUCACIONAL PARTICULAR,390
ESCUELA COEDUCACIONAL PARTICULAR OSCAR Y,391
LICEO DIEGO DE ALMEIDA,392
INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ,396
ESC. DE REHAB.SOCIAL MEDARDO CANO GODOY,397
LICEO JOSE ANTONIO CARVAJAL,399
LICEO MERCEDES FRITIS MACKENNEY,400
ESCUELA BERNARDO OÂ¦HIGGINS,401
ESCUELA RUDECINDO ARMANDO PENA CARRASCO,402
ESCUELA LAURA ROBLES SILVA,403
ESCUELA LOS ESTANDARTES,405
ESCUELA VICENTE SEPULVEDA ROJO,406
ESCUELA JESUS FERNANDEZ HIDALGO,407
ESCUELA PEDRO LEON GALLO,408
ESCUELA JOSE MANSO DE VELASCO,410
ESCUELA LAS CANTERAS,411
ESCUELA LAS BRISAS,413
LICEO DE MUSICA,415
ESCUELA ABRAHAM SEPULVEDA PIZARRO,416
COLEGIO BUEN PASTOR,417
ESCUELA ISABEL PENA MORALES,418
ESCUELA HERNAN MARQUEZ HUERTA,419
ESCUELA FUNDICION PAIPOTE,420
ESCUELA BRUNO ZAVALA FREDES,421
ESCUELA SAN PEDRO,423
ESCUELA LUIS CRUZ MARTINEZ,427
LICEO CATOLICO ATACAMA,429
LICEO POLITECNICO BELEN,430
LICEO SAGRADO CORAZON,431
COLEGIO ADVENTISTA DE COPIAPO,433
ESCUELA SAN VICENTE DE PAUL,434
ESCUELA TECNICO PROFESIONAL,437
LICEO MANUEL BLANCO ENCALADA,438
ESCUELA TOTORAL,439
COLEGIO PARROQUIAL PADRE NEGRO,440
ESCUELA DE CONCENTRACION,441
ESCUELA VICTOR MANUEL SANCHEZ CABANAS,442
ESCUELA LUIS URIBE ORREGO,444
ESCUELA PAUL HARRIS,445
ESCUELA AMOLANAS,446
ESCUELA SAN ANTONIO,447
LICEO PEDRO TRONCOSO MACHUCA,448
LICEO JOSE SANTOS OSSA,449
ESCUELA HERMANOS CARRERA,450
ESCUELA GABRIELA MISTRAL,452
ESCUELA IGNACIO CARRERA PINTO,453
ESCUELA GREGORIO CASTILLO MARÃN,454
ESCUELA REPUBLICA DE LOS E.E.U.U.,455
ESCUELA ARTURO PEREZ CANTO,458
ESCUELA BASICA ESPANA,459
ESCUELA LUIS CRUZ MARTINEZ,461
ESCUELA JOSE CAROCA LAFLOR,462
ESCUELA BASICA ROBERTO CUADRA ALQUINTA,463
ESCUELA BASICA GUALBERTO KONG FERNANDEZ,464
ESCUELA BASICA JAVIERA CARRERA,466
ESCUELA HERNAN ARAVENA CONTRERAS,467
ESCUELA BASICA IGNACIO FRANCO GALLO,468
ESCUELA BASICA JUSTINO LEIVA AMOR,469
ESCUELA BASICA SARA BEMBOW VILLEGAS,471
ESCUELA DE HACIENDA LAS VENTANAS,472
ESCUELA BASICA CAMARONES,475
ESCUELA BASICA SOR TERESA DE LOS ANDES,476
LICEO SANTA MARTA,478
LICEO SAN FRANCISCO,479
ESCUELA BASICA ALEJANDRO NOEMI HUERTA,481
ESCUELA FORTUNATO SOZA RODRIGUEZ,482
ESCUELA SAMUEL E. CASTILLO LOPEZ,483
ESCUELA DE MAITENCILLO,484
ESCUELA BASICA YERBAS BUENAS,485
LICEO JAPON,486
ESCUELA BASICA JOSE MIGUEL CARRERA,487
ESCUELA EL OLIVAR,489
ESCUELA PABLO NERUDA,490
COLEGIO PARTICULAR ENGLISH COLLEGE,492
EDUCADOR ARTURO ALVEAR RAMOS,493
ESCUELA AGLADE MARIN VARGAS,495
ESCUELA DE CHOLLAY,496
ESCUELA DE LA PAMPA,497
ESCUELA ALGARROBILLA,498
ESCUELA RICARDO CAMPILLAY CONTRERAS,499
ESCUELA BASICA RURAL EL TAMBO,500
ESCUELA DE LAS MARQUESAS,502
ESCUELA DE LAS BREAS,503
ESCUELA GABRIELA MISTRAL,504
ESCUELA DE LOS PERALES,506
ESCUELA DE CHIGUINTO,508
ESC.BASICA ALDECIRA ALVAREZ A.,509
ESCUELA DE EL CORRAL,514
LICEO GABRIELA MISTRAL DE LA SERENA,516
LICEO GREGORIO CORDOVEZ,517
LICEO TECNICO MARTA BRUNET,518
COLEGIO ARTURO PRAT CHACON,519
COLEGIO JOSE GASPAR MARIN ESQUIVEL,520
COLEGIO VICTOR DOMINGO SILVA,521
COLEGIO JAVIERA CARRERA,522
ESCUELA ALONSO DE ERCILLA,523
COLEGIO JAPON,525
COLEGIO JOSE MANUEL BALMACEDA,526
COLEGIO HEROES DE LA CONCEPCION,527
ESCUELA GERMAN RIESCO,528
COLEGIO MANUEL RODRIGUEZ,529
COLEGIO GABRIEL GONZALEZ VIDELA,530
COLEGIO PEDRO AGUIRRE CERDA,531
CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO,532
COLEGIO DARIO SALAS,533
COLEGIO VILLA SAN BARTOLOME,534
COLEGIO JOSE MIGUEL CARRERA,535
COLEGIO BERNARDA MORIN,536
COLEGIO LUIS BRAILLE,537
COLEGIO DE ALGARROBITO,539
ESCUELA DE ISLON,540
ESCUELA DE LAMBERT,542
COLEGIO ALTOVALSOL,543
COLEGIO COQUIMBITO,546
ESCUELA DE COLONIA ALFALFARES,548
ESCUELA DE LOS CORRALES,549
ESCUELA DE ALMIRANTE LATORRE,550
ESCUELA DE LAS ROJAS,551
ESCUELA DE CHACAY ALTO,552
ESCUELA DE BELLAVISTA,553
ESCUELA DE PELICANA,554
ESCUELA DE ROMERO,556
ESCUELA DE SATURNO,557
COLEGIO PUNTA DE TEATINOS,558
COLEGIO QUEBRADA DE TALCA,560
COLEGIO EL ROMERAL,561
COLEGIO CALETA SAN PEDRO,562
COLEGIO LA LAJA,563
COLEGIO LA ESTRELLA,564
COLEGIO PARTICULAR ADVENTISTA MARANATA,565
COLEGIO ISABEL RIQUELME,566
ESCUELA PARTICULAR OSCAR ALDUNATE ABBOTT,567
COLEGIO SAN ANTONIO,568
COLEGIO ELENA BETTINI,570
ESCUELA PARTICULAR TERESA VIDELA DE G,573
ESCUELA  INDUSTRIAL SALESIANA SAN RAMON,574
COLEGIO PROVIDENCIA,575
COLEGIO JULIA DE LA BARRA CAMPOS,577
LICEO IGNACIO CARRERA PINTO,578
COLEGIO SEMINARIO CONCILIAR,579
COLEGIO GERONIMO RENDIC,580
ESCUELA EXPERIMENTAL DE MUSICA,581
COLEGIO ANDRES BELLO,582
COLEGIO SAGRADOS CORAZONES,583
COLEGIO THE INTERNATIONAL SCHOOL,585
COLEGIO SERENA,587
COLEGIO SANTO DOMINGO,589
COLEGIO PARTICULAR SAN JOSE,590
COLEGIO INGLES CATOLICO,591
COLEGIO FRANCISCO DE AGUIRRE,594
ESCUELA BASICA PEDRO PABLO MUNOZ,597
ESCUELA DE PUNTA DE CHOROS,598
ESCUELA JOSE SANTOS OSSA,599
ESCUELA DE LOS MORROS,601
ESCUELA BASICA CARLOS CONDELL,602
ESCUELA DE PUNTA COLORADA,604
ESCUELA DE CRUZ GRANDE,606
ESCUELA DE LOS CHOROS,608
INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,609
LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,610
LICEO MUNICIPAL DIEGO PORTALES PALAZUELO,611
ESCUELA GUILLERMO CERECEDA,612
COLEGIO DE ARTES CLAUDIO ARRAU,613
ESCUELA PRESIDENTE ANIBAL PINTO,614
ESCUELA COQUIMBO,615
ESCUELA CARDENAL JOSE MARIA CARO,616
COLEGIO SANTA CECILIA,617
ESCUELA SANTO TOMAS DE AQUINO,618
ESCUELA JOSE ALFARO ALFARO,620
ESCUELA BASICA MARIO MUNOZ SILVA,621
ESCUELA TOMASA OLIVARES CAAMANO,625
ESCUELA BASICA DAVID LEON TAPIA,626
ESCUELA DE PENUELAS,628
ESCUELA PABLO NERUDA,629
COLEGIO LA HERRADURA,630
ESCUELA DE PAN DE AZUCAR,631
ESCUELA BASICA MANUEL DE SALAS,632
ESCUELA DE HUACHALALUME,634
ESCUELA DE TOTORALILLO,635
ESCUELA LUCILA GODOY ALACAYAGA,637
ESCUELA DE CAMARONES,638
ESCUELA DE LAS BARRANCAS,639
ESCUELA DE EL MOLLACO,640
ESCUELA DE LAS CARDAS,641
ESCUELA DE EL PENON,642
ESCUELA DE TAMBILLOS,643
ESCUELA DE PUERTO ALDEA,644
ESCUELA DE EL TANGUE,645
COLEGIO BERNARDO O'HIGGINS,646
COLEGIO MANUEL MONTT,647
COLEGIO SANTA MARTA,648
COLEGIO PARTICULAR GABRIELA MISTRAL,649
ESCUELA PARTICULAR METODISTA,650
COLEGIO PARTICULAR SAN IGNACIO,655
LICEO PEDRO REGALADO S. VIDELA O.,656
ESCUELA LUIS CRUZ MARTINEZ,657
ESCUELA PATRICIO LYNCH,658
ESCUELA PADRE BLAS HERNANDEZ SANCHEZ,659
ESCUELA LUIS AMENABAR OSSA,661
ESCUELA DE MAITENCILLO,662
ESCUELA PADRE CLARET,663
ESCUELA CORAZON DE MARIA,664
LICEO CARLOS ROBERTO MONDACA CORTES,665
ESCUELA BASICA LUCILA GODOY ALCAYAGA,666
ESCUELA EDMUNDO VIDAL CARDENAS,668
ESCUELA DE EL TAMBO,669
ESCUELA RIOS DE ELQUI,671
ESCUELA DE DIAGUITAS JUAN TORRES M.,672
ESCUELA JOSE ABELARDO NUNEZ,673
ESCUELA DE VINITA ALTA,674
ESCUELA DE SAN CARLOS,676
ESCUELA AMELIA BARAHONA MUJICA,678
ESCUELA FEDERICO BARNES PAYNE,680
ESCUELA DE EL ARENAL,681
ESCUELA DAGOBERTO CAMPOS NUNEZ,682
ESCUELA DE LA CALERA,683
ESCUELA DE LA POLVADA,685
ESCUELA MARIO AQUILES RODRIGUEZ,686
ESCUELA DE HUANTA,687
ESCUELA DE CHAPILCA,688
ESCUELA DE VARILLAR,689
COLEGIO ANTONIO VARAS,690
ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO,691
ESCUELA JERONIMO GODOY VILLANUEVA,692
ESCUELA MUNICIPAL QUEBRADA DE PAIHUANO,693
ESCUELA GABRIELA MISTRAL,694
ESCUELA MUNICIPAL TRES CRUCES,695
ESCUELA MUNICIPAL LA ORTIGA,696
ESCUELA MUNICIPAL ALCOHUAZ,697
ESCUELA MARIA ISABEL PERALTA P.,699
LICEO ESTELA AVILA DE PERRY,701
LICEO ALEJANDRO ALVAREZ JOFRE,704
LICEO POLITECNICO DE OVALLE,705
COLEGIO FRAY JORGE,706
ESCUELA BASICA HELENE LANG,707
ESCUELA ANTONIO TIRADO LANAS,708
ESCUELA BASICA OSCAR ARAYA MOLINA,709
ESCUELA BASICA JOSE TOMAS OVALLE B.,710
ESCUELA GUARDIAMARINA ERNESTO RIQUELME V,711
ESCUELA BASICA ARTURO ALESSANDR PALMA,712
ESCUELA ARTURO VILLALON SIEULANNE,713
ESCUELA BASICA VISTA HERMOSA,714
ESCUELA BASICA BERNARDO OÂ¦HIGGINS RIQUELME,715
ESC.PADRE JOSEPH BENEDIKT STEGMEIER,716
ESCUELA MARCOS MACUADA OGALDE,718
ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ,721
ESC. HEBERTO VELAZQUEZ VELAZQUEZ,722
ESCUELA VILLORRIO EL TALHUEN,723
ESCUELA BASICA CALETA EL MAITEN,724
ESCUELA EL CRISOL,725
ESCUELA QUEBRADA SECA DE SOTAQUI,726
ESCUELA LA PALOMA,727
ESCUELA EL ALGARROBO,728
ESCUELA BASICA LOS OLIVOS,729
ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA,730
ESCUELA EL TRAPICHE,731
ESCUELA PADRE DAMIAN HEREDIA,733
ESCUELA LA QUIROGA,735
ESCUELA BASICA LOS SOSSAS,736
ESCUELA BASICA VALENTIN LETELIER,737
ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS,740
ESCUELA CARACHILLA,743
ESCUELA ORURO,744
ESCUELA LA HIGUERA DE PALOMA,745
ESCUELA EL SAUCE,746
ESCUELA CERRO TAMAYA,747
ESCUELA TRANQUE RECOLETA,749
ESCUELA LVIRA DEL CARMEN OCHOA  AVILES,750
ESCUELA VALLE HERMOSO,752
ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL,753
ESCUELA LA ARAUCANA,754
ESCUELA CANELILLA,755
ESCUELA SANTA CATALINA,756
ESCUELA BASICA EL GUINDO,757
ESCUELA CORDILLERA,758
ESCUELA BASICA GASPAR CABRALES,759
ESCUELA LAS LOMAS DE PUNILLA,760
ESCUELA CALETA EL TORO,762
COLEGIO SAN JUAN BAUTISTA,763
COLEGIO SANTA MARIA EUFRASIA,766
COLEGIO PARTICULAR GABRIELA MISTRAL,767
COLEGIO LA PROVIDENCIA,768
COLEGIO SAN VIATOR,769
COLEGIO AMALIA ERRAZURIZ,770
ESCUELA PARTICULAR EL ARRAYAN,771
LICEO AGRICOLA DE OVALLE TADEO PERRY BARN,772
ESCUELA SAMO ALTO,773
ESCUELA BASICA DE PICHASCA,774
ESCUELA BASICA DE FUNDINA,775
ES.BAS.SAN PEDRO DE RIO HURTADO,776
ESC.BASICA  HIJOS DE EL CHANAR,777
ESCUELA BASICA LAS BREAS,778
ESCUELA BASICA TABAQUEROS,780
ESCUELA DOCTOR JOSE LUIS ARRANO,783
ESCUELA BASICA  HUAMPULLA,784
ESCUELA BASICA LOS MAITENES DE SAMO ALTO,785
ESCUELA BASICA  LA HUERTA,786
ESCUELA BASICA MORRILLOS,787
ESCUELA BASICA VADO DE MORRILLOS,788
ESCUELA EL ESPINAL DE RIO HURTADO,789
ESCUELA BASICA EL ROMERAL,790
ESCUELA BASICA  ESTANCIA EL SAUCE,792
ESCUELA BASICA DE  SERON,793
ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,795
ESCUELA LOS MAITENES DE SERON,797
ESCUELA EL PALQUI,798
COLEGIO REPUBLICA DE CHILE,799
ESCUELA HUATULAME,800
LICEO PRESIDENTE EDUARDO FREI MONTALVA,802
ESC.CONCENTRACION FRONTERIZA DE TULAHUEN,803
ESCUELA BASICA WENCESLAO VARGAS,804
ESCUELA EL MAQUI,805
ESCUELA FRONTERA LAS RAMADAS,806
ESCUELA EL MAITEN,807
ESCUELA BASICA TULAHUEN PONIENTE,808
ESCUELA DE HUANILLA,809
ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE,810
ESCUELA VARILLAR,811
ESCUELA SOL DE LAS PRADERAS,812
ESCUELA BASICA LA UNION,813
ESCUELA BASICA EL TAYAN,814
ESCUELA GUSTAVO CONTRERAS CASTRO,816
ESCUELA NUEVA ESPERANZA DE PEJERREYES,817
ESCUELA LOS CLONQUIS,818
ESCUELA BUENAVENTURA,819
ESCUELA SOL DEL CUYANO,820
ESCUELA DE FLOR DEL VALLE,821
ESCUELA JUNTAS,822
ESCUELA BASICA COLLIGUAY,823
ESCUELA HEROES DE CHILE,824
ESCUELA BASICA PABLO NERUDA,825
ESCUELA BASICA HACIENDA VALDIVIA,826
COLEGIO RIO GRANDE,827
ESCUELA FLOR DE LAS ANDES,828
ESCUELA MARCELA PAZ,830
ESCUELA VALLE NEVADO,831
ESCUELA SANTA BERNARDITA,833
ESCUELA SARGENTO CANDELARIA PEREZ,834
ESCUELA CARMELA PRAT,835
ESCUELA INES DE SUAREZ,836
ESCUELA ESPERANZA DE HUANA,837
ESCUELA PROFESOR MANUEL ORTIZ QUINTANA,838
ESCUELA CHILECITO,839
ESCUELA OMAR ELORZA SMITH,840
ESCUELA PULPICA,841
ESCUELA LOS PERALES DE CAMPANARIO,843
ESCUELA PARTICULAR CERRILLOS DE RAPEL,844
LICEO SAMUEL ROMAN ROJAS,845
ESCUELA BASICA AMERICA,847
ESCUELA ALEJANDRO CHELEN ROZAS,848
ESCUELA BASICA JUANITA FERNANDEZ SOLAR,849
ESCUELA JUAN LUIS SAN FUENTES,850
ESCUELA BASICA ARTURO PEREZ CANTO,851
ESCUELA BASICA PEDRO DE VALDIVIA,852
ESCUELA RAFAEL SOTOMAYOR,854
ESCUELA IRENE MORALES,856
ESCUELA LOS MORALES,857
ESCUELA REBECA MATTE DE INIGUEZ,859
ESCUELA ESTRELLA DE BELEN,862
ESCUELA BASICA ALBERTO ORREGO LUCO,864
ESCUELA BASICA DANIEL BARROS GREZ,865
ESCUELA BASICA OSCAR CASTRO ZUNIGA,866
ESCUELA SAN JUDAS TADEO DE CARCAMO,867
ESCUELA AMERICA DE SUR,868
ESCUELA BASICA REBECA PONCE DE LEON V.,869
ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ,870
ESCUELA BASICA LUIS ENRIQUE BOU PEREZ,871
ESCUELA BASICA ROSITA OHIGGINS,872
ESCUELA BASICA LAURITA VICUNA,874
ESCUELA BASICA PEDRO LIRA RENCORET,875
